collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,tai35a,sfw,1,1,,,2422002,0.03350203674480863,2484260.2232177705,,,,0.026730775833129883,0.0,138.0,138.0,138.0,False,0.0
qaplib,tai35a,tos-bp-project,1,1,,,2422002,0.01891988528498325,2463915.4129161267,,,,0.5638570785522461,0.0,6402.0,6402.0,6402.0,False,5.133258271534437e-18
qaplib,tai20b,sfw,1,1,,,122455319,0.4916144965495537,182656129.0,,,,0.0009741783142089844,0.0,5.0,5.0,5.0,False,0.0
qaplib,tai20b,tos-bp-project,1,1,,,122455319,0.776886735316087,211003184.73786142,,,,5.683585166931152,0.0,100000.0,100000.0,100000.0,True,0.0
qaplib,bur26c,sfw,1,1,,,5426795,0.05246687962231852,5710591.551403155,,,,0.0009717941284179688,0.0,6.0,6.0,6.0,False,0.0
qaplib,bur26c,tos-bp-project,1,1,,,5426795,0.049056763706755095,5670399.743036224,,,,0.5937831401824951,0.0,8294.0,8294.0,8294.0,False,1.4006896058925843e-17
qaplib,chr22a,sfw,1,1,,,6156,0.22839506172839505,6164.114094849983,,,,0.2411336898803711,0.0,2028.0,2028.0,2028.0,False,0.0
qaplib,chr22a,tos-bp-project,1,1,,,6156,0.18551007147498375,5720.789074559319,,,,0.36852526664733887,0.0,5494.0,5494.0,5494.0,False,0.0
qaplib,lipa90a,sfw,1,1,,,360630,0.011191525940714861,361821.66968792584,,,,0.239776611328125,0.0,70.0,70.0,70.0,False,0.0
qaplib,lipa90a,tos-bp-project,1,1,,,360630,0.01288578321271109,361698.95713611355,,,,8.473989725112915,0.0,16569.0,16569.0,16569.0,False,5.019993704893788e-19
qaplib,sko100b,sfw,1,1,,,153890,0.007641822080706999,154980.43125602984,,,,0.4487295150756836,0.0,95.0,95.0,95.0,False,0.0
qaplib,sko100b,tos-bp-project,1,1,,,153890,0.013646110858405355,156429.56082972727,,,,4.433371543884277,0.0,6959.0,6959.0,6959.0,False,5.451429450413312e-18
qaplib,scr12,sfw,1,1,,,31410,0.1294492199936326,29984.991736575714,,,,0.20773029327392578,0.0,2002.0,2002.0,2002.0,False,0.0
qaplib,scr12,tos-bp-project,1,1,,,31410,0.1294492199936326,29983.97250841234,,,,0.237990140914917,0.0,3968.0,3968.0,3968.0,False,0.0
qaplib,tai40a,sfw,1,1,,,3139370,0.027034723527331918,3209003.0593583616,,,,0.04793119430541992,0.0,169.0,169.0,169.0,False,0.0
qaplib,tai40a,tos-bp-project,1,1,,,3139370,0.047991157461528905,3248377.5097476607,,,,0.48520731925964355,0.0,4792.0,4792.0,4792.0,False,4.239113540547516e-18
qaplib,lipa60b,sfw,1,1,,,2520135,0.1919238453495547,2982787.8837927403,,,,0.056802988052368164,0.0,111.0,111.0,111.0,False,0.0
qaplib,lipa60b,tos-bp-project,1,1,,,2520135,0.0,2520570.6549288887,,,,0.4381885528564453,0.0,2431.0,2431.0,2431.0,False,7.409987529956449e-17
qaplib,esc16e,sfw,1,1,,,28,0.0,25.580071194603725,,,,0.11062479019165039,0.0,1164.0,1164.0,1164.0,False,0.0
qaplib,esc16e,tos-bp-project,1,1,,,28,0.07142857142857142,26.675312954637405,,,,0.11849236488342285,0.0,1605.0,1605.0,1605.0,False,5.052706960568583e-18
qaplib,tai20a,sfw,1,1,,,703482,0.04529184826335286,724586.2025050228,,,,0.01979804039001465,0.0,174.0,174.0,174.0,False,0.0
qaplib,tai20a,tos-bp-project,1,1,,,703482,0.048856971464799386,722662.6835653714,,,,0.2546260356903076,0.0,3780.0,3780.0,3780.0,False,5.2809879035852595e-18
qaplib,esc32d,sfw,1,1,,,200,0.02,199.282826068473,,,,0.05840420722961426,0.0,347.0,347.0,347.0,False,0.0
qaplib,esc32d,tos-bp-project,1,1,,,200,0.02,197.8738443054712,,,,0.4841618537902832,0.0,5917.0,5917.0,5917.0,False,1.2389458367446691e-17
qaplib,bur26h,sfw,1,1,,,7098658,0.04363331773414073,7408396.0,,,,0.0005822181701660156,0.0,3.0,3.0,3.0,False,0.0
qaplib,bur26h,tos-bp-project,1,1,,,7098658,0.053531244919814425,7606040.398065257,,,,6.660513877868652,0.0,100000.0,100000.0,100000.0,True,3.5430688440141696e-18
qaplib,lipa50b,sfw,1,1,,,1210244,0.0,1210244.0,,,,0.005293607711791992,0.0,12.0,12.0,12.0,False,0.0
qaplib,lipa50b,tos-bp-project,1,1,,,1210244,0.0,1210324.842736545,,,,0.25162529945373535,0.0,1599.0,1599.0,1599.0,False,2.301670028848875e-18
qaplib,rou12,sfw,1,1,,,235528,0.06809381474814034,241831.32871700672,,,,0.06619954109191895,0.0,720.0,720.0,720.0,False,0.0
qaplib,rou12,tos-bp-project,1,1,,,235528,0.05538195034136069,237208.02298539193,,,,0.07661128044128418,0.0,862.0,862.0,862.0,False,0.0
qaplib,esc16f,sfw,1,1,,,0,0.0,0.0,,,,0.00011038780212402344,0.0,1.0,1.0,1.0,False,0.0
qaplib,esc16f,tos-bp-project,1,1,,,0,0.0,0.0,,,,0.03692317008972168,0.0,1.0,1.0,1.0,False,0.0
qaplib,tai15a,sfw,1,1,,,388214,0.03098806328468319,389671.8105935493,,,,0.04835200309753418,0.0,440.0,440.0,440.0,False,0.0
qaplib,tai15a,tos-bp-project,1,1,,,388214,0.034584018093113594,393632.7178115712,,,,0.1392838954925537,0.0,1905.0,1905.0,1905.0,False,7.847935952108964e-17
qaplib,chr25a,sfw,1,1,,,3796,0.4230769230769231,4915.306391162992,,,,0.1709425449371338,0.0,1297.0,1297.0,1297.0,False,0.0
qaplib,chr25a,tos-bp-project,1,1,,,3796,0.45785036880927293,5039.625050551109,,,,0.3823964595794678,0.0,5295.0,5295.0,5295.0,False,0.0
qaplib,nug16a,sfw,1,1,,,1610,0.031055900621118012,1647.6924532649432,,,,0.018201112747192383,0.0,181.0,181.0,181.0,False,0.0
qaplib,nug16a,tos-bp-project,1,1,,,1610,0.040993788819875775,1630.9121362430037,,,,0.295365571975708,0.0,4857.0,4857.0,4857.0,False,1.3863948476186104e-17
qaplib,sko81,sfw,1,1,,,90998,0.01536297501043979,92350.09272877689,,,,0.09962105751037598,0.0,34.0,34.0,34.0,False,0.0
qaplib,sko81,tos-bp-project,1,1,,,90998,0.009890327259939779,92037.87727722886,,,,2.878343105316162,0.0,5812.0,5812.0,5812.0,False,6.947600094314757e-17
qaplib,bur26d,sfw,1,1,,,3821225,0.06252419054099144,4010410.9974516695,,,,0.007042407989501953,0.0,9.0,9.0,9.0,False,0.0
qaplib,bur26d,tos-bp-project,1,1,,,3821225,0.029917107733776472,3973416.5662281523,,,,0.4625430107116699,0.0,6096.0,6096.0,6096.0,False,5.2577192214972965e-18
qaplib,had14,sfw,1,1,,,2724,0.002936857562408223,2656.86525622699,,,,0.03312993049621582,0.0,301.0,301.0,301.0,False,0.0
qaplib,had14,tos-bp-project,1,1,,,2724,0.002936857562408223,2656.7394541206722,,,,0.12612295150756836,0.0,1768.0,1768.0,1768.0,False,0.0
qaplib,lipa80b,sfw,1,1,,,7763962,0.19919391671417247,9288735.086397542,,,,0.29158473014831543,0.0,190.0,190.0,190.0,False,0.0
qaplib,lipa80b,tos-bp-project,1,1,,,7763962,0.0,7764616.815735357,,,,2.0948989391326904,0.0,4128.0,4128.0,4128.0,False,8.238148550889174e-15
qaplib,chr20a,sfw,1,1,,,2192,0.708029197080292,2940.577088100483,,,,0.2982349395751953,0.0,2409.0,2409.0,2409.0,False,0.0
qaplib,chr20a,tos-bp-project,1,1,,,2192,0.42244525547445255,2673.115334664114,,,,0.1911792755126953,0.0,2719.0,2719.0,2719.0,False,0.0
