collection,test_name,solver,k,n,stop_tol,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,esc32e,sfw,1,3,0.0001,2.0,0.0,2,0.0,1.190612171160072,7.680897690122145,7.874007874011812,1.5691903496069006,2.304380734761556,0.6654518419504921,14437.666666666666,14437.666666666666,14437.666666666666,False,0.0
qaplib,esc32e,tos,1,3,0.0001,2.0,0.0,2,0.0,1.9846096421803274,5.960885986989801,7.958002624670603,5.033576335251229,0.1269677480061849,0.011363730440887398,1295.3333333333333,1295.3333333333333,1295.3333333333333,False,0.0001357133335055975
qaplib,tai100a,sfw,1,3,0.0001,21475149.333333332,73402.16099150095,21044752,0.020451527931207365,21449201.00738733,13.710254065528888,14.047498186313526,2.01643946851553,0.2628782590230306,0.07417920517330764,71.0,71.0,71.0,False,0.0
qaplib,tai100a,tos,1,3,0.0001,21935926.666666668,104037.3783385354,21044752,0.04234664616939501,21827778.681880984,12.421139282900938,14.094876727557176,5.453546725750147,6.935780048370361,0.4633464740856445,9128.0,9128.0,9128.0,False,9.810856751193391e-06
qaplib,tai35b,sfw,1,3,0.0001,308515712.3333333,6088976.266956339,283315445,0.08894773574145706,306026795.60589415,6.956623399851318,7.915322230804944,2.9386462232309847,0.0360565980275472,0.02243936916388709,89.33333333333333,89.33333333333333,89.33333333333333,False,0.0
qaplib,tai35b,tos,1,3,0.0001,314962413.3333333,2110700.595419656,283315445,0.1117022347063829,313287191.67898774,6.391692547466614,7.9980756664196475,4.552369118215226,0.7804241180419922,0.09373004735518893,6148.0,6148.0,6148.0,False,1.7104488764263743e-05
qaplib,nug20,sfw,1,3,0.0001,2640.6666666666665,12.256517540566822,2570,0.027496757457846892,2611.2021030353,5.556204497790264,6.051835738394021,1.6696861703791968,0.024466991424560547,0.008192266254733946,180.66666666666666,180.66666666666666,180.66666666666666,False,0.0
qaplib,nug20,tos,1,3,0.0001,2602.0,14.514360704718161,2570,0.012451361867704281,2579.9600726857884,5.40670749482874,5.8873012632302,1.8791246279255691,0.24249903361002603,0.025360104699509015,3233.0,3233.0,3233.0,False,1.8364826713311163e-05
qaplib,had20,sfw,1,3,0.0001,6968.666666666667,21.684607956387456,6922,0.0067417894635462255,6842.225780762834,4.596660456673638,5.523822897685746,3.0012975832256763,0.03526075681050619,0.010252459549596745,214.0,214.0,214.0,False,0.0
qaplib,had20,tos,1,3,0.0001,6936.666666666667,1.8856180831641267,6922,0.002118848117114558,6834.703507900326,3.4489141124568037,4.69041575982343,3.1902850347624825,0.2093039353688558,0.002635774088707497,2794.0,2794.0,2794.0,False,3.5800523836918302e-06
