collection,test_name,solver,k,n,cost_mean,cost_stdev,cost_best_known,cost_relative_gap,cost_pre_rounded,norm_diff_best_prerounded,norm_diff_best_rounded,norm_diff_prerounded_rounded,time_mean,time_stdev,iters_best_mean,iters_min_of_k_mean,iters_mean_of_k_mean,max_iters_reached(1e5),birkhoff_infeasibility
qaplib,nug16a,tos,1,1,1634.0,0.0,1610,0.014906832298136646,1605.6085165947097,4.726007277012246,5.291502622129181,1.4938541031718504,0.2448592185974121,0.0,4260.0,4260.0,4260.0,False,9.418615630137285e-06
qaplib,sko81,sfw,1,1,92176.0,0.0,90998,0.012945339458010066,92088.21669362589,11.624994608302595,12.328828005937952,3.2371844955608076,0.19190740585327148,0.0,61.0,61.0,61.0,False,0.0
qaplib,sko81,tos,1,1,92066.0,0.0,90998,0.011736521681795205,92149.09610894688,10.04303138885972,12.569805089976535,6.583728524509324,2.776611566543579,0.0,5912.0,5912.0,5912.0,False,8.570552201464131e-06
qaplib,bur26d,sfw,1,1,4019258.0,0.0,3821225,0.051824480369515015,4019258.0,6.6332495807108,6.6332495807108,0.0,0.0009405612945556641,0.0,3.0,3.0,3.0,False,0.0
qaplib,bur26d,tos,1,1,3981329.0,0.0,3821225,0.04189860581358072,3965363.3181607216,5.171362441587277,6.6332495807108,4.238256946019918,0.595574140548706,0.0,7920.0,7920.0,7920.0,False,5.31953411592409e-05
qaplib,had14,sfw,1,1,2732.0,0.0,2724,0.002936857562408223,2656.851617216923,2.6007265064086025,2.8284271247461903,2.572129418380391,0.033423662185668945,0.0,317.0,317.0,317.0,False,0.0
qaplib,had14,tos,1,1,2732.0,0.0,2724,0.002936857562408223,2656.747694349111,2.611083016035923,2.8284271247461903,2.5896506668488812,0.1006314754486084,0.0,1768.0,1768.0,1768.0,False,1.1450561188902339e-06
qaplib,lipa80b,sfw,1,1,9313327.0,0.0,7763962,0.19955855013200735,9300668.667586476,11.67518390860279,12.24744871391589,2.6694081962778067,0.10770201683044434,0.0,76.0,76.0,76.0,False,0.0
qaplib,lipa80b,tos,1,1,7763962.0,0.0,7763962,0.0,7765826.215652741,0.01103512070995746,0.0,0.01103512070995746,1.4572696685791016,0.0,3297.0,3297.0,3297.0,False,6.397894559520945e-05
qaplib,chr20a,sfw,1,1,3762.0,0.0,2192,0.7162408759124088,3420.1490449057856,5.80908486728297,6.164414002968976,1.5255442912383361,0.047524452209472656,0.0,188.0,188.0,188.0,False,0.0
qaplib,chr20a,tos,1,1,3666.0,0.0,2192,0.6724452554744526,3015.621074250829,5.799041610924307,6.324555320336759,2.1318264020158066,0.1692194938659668,0.0,2465.0,2465.0,2465.0,False,4.2795324083493704e-05
qaplib,ste36c,sfw,1,1,8592290.0,0.0,8239110,0.042866280459904045,8113399.873881303,6.537032518237012,7.211102550927978,2.4851001061633613,0.1558825969696045,0.0,627.0,627.0,627.0,False,0.0
qaplib,ste36c,tos,1,1,8760902.0,0.0,8239110,0.06333111221964509,8286532.149280458,7.137761631916574,8.366600265340756,3.6007478489152174,0.6305325031280518,0.0,7206.0,7206.0,7206.0,False,2.569267652922044e-05
